url,关键词,状态
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-01%20until%3A2026-01-02&src=typed_query,A-整体讨论,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28PFAS%20OR%20%22forever%20chemicals%22%20OR%20toxic%20OR%20chemical%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-01%20until%3A2026-01-02&src=typed_query,B-化学品争议,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28health%20OR%20safety%20OR%20cancer%20OR%20immune%20OR%20harmful%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-01%20until%3A2026-01-02&src=typed_query,C-健康安全,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28transparency%20OR%20disclose%20OR%20testing%20OR%20evidence%20OR%20report%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-01%20until%3A2026-01-02&src=typed_query,D-透明度,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28greenwashing%20OR%20sustainability%20OR%20hypocrisy%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-01%20until%3A2026-01-02&src=typed_query,E-绿洗质疑,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28boycott%20OR%20refund%20OR%20trust%20OR%20betrayed%20OR%20%22stop%20buying%22%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-01%20until%3A2026-01-02&src=typed_query,F-抵制声浪,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-02%20until%3A2026-01-03&src=typed_query,A-整体讨论,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28PFAS%20OR%20%22forever%20chemicals%22%20OR%20toxic%20OR%20chemical%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-02%20until%3A2026-01-03&src=typed_query,B-化学品争议,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28health%20OR%20safety%20OR%20cancer%20OR%20immune%20OR%20harmful%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-02%20until%3A2026-01-03&src=typed_query,C-健康安全,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28transparency%20OR%20disclose%20OR%20testing%20OR%20evidence%20OR%20report%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-02%20until%3A2026-01-03&src=typed_query,D-透明度,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28greenwashing%20OR%20sustainability%20OR%20hypocrisy%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-02%20until%3A2026-01-03&src=typed_query,E-绿洗质疑,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28boycott%20OR%20refund%20OR%20trust%20OR%20betrayed%20OR%20%22stop%20buying%22%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-02%20until%3A2026-01-03&src=typed_query,F-抵制声浪,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-03%20until%3A2026-01-04&src=typed_query,A-整体讨论,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28PFAS%20OR%20%22forever%20chemicals%22%20OR%20toxic%20OR%20chemical%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-03%20until%3A2026-01-04&src=typed_query,B-化学品争议,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28health%20OR%20safety%20OR%20cancer%20OR%20immune%20OR%20harmful%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-03%20until%3A2026-01-04&src=typed_query,C-健康安全,done
https://x.com/search?q=%28lululemon%20OR%20%40lululemon%29%20%28transparency%20OR%20disclose%20OR%20testing%20OR%20evidence%20OR%20report%29%20lang%3Aen%20-is%3Aretweet%20since%3A2026-01-03%20until%3A2026-01-04&src=typed_query,D-透明度,done
