发布者,发布时间,正文,点赞数,回复数,转发数,浏览量,话题标签,关键词,链接,被回复的用户ID,被回复的帖子链接,转发原帖用户ID,转发原帖正文,转发原帖链接,AI有效,AI无效原因,语言,转发原帖语言
@FhjTim,2026-01-01T04:36:39.000Z,"Goals for 2026: Get laid once Hit the ball as far as 
@chazwill10
 Pull like 
@TheDouger44
@mnues1
 Crank 90’s like 
@SkysportsNow12
 Pull of lululemon like 
@SIGerasimo
 Crack down on Somalians with 
@otis_kirk7
 and 
@Buckspicks1
 Be as ripped as Seth. Cheers to 2026.",8,4,0,266,,A-整体讨论,https://x.com/FhjTim/status/2006585335594045912,[],[],,,,False,与Lululemon无关 提及品牌但内容为无关个人目标,en,
@FC_kyle,2026-01-01T01:58:01.000Z,"The biggest loser with Canada’s Olympic roster selection isn’t Sam Bennett. It’s 
@lululemon
. They lost a huge marketing opportunity having their poster boy Connor Bedard wearing Lulu at the Olympics.",1,0,1,295,,A-整体讨论,https://x.com/FC_kyle/status/2006545414233948639,[],[],,,,True,有效 讨论Lululemon奥运营销机会，相关,en,
@evfiend,2025-12-31T19:48:58.000Z,"i think CB is going down a dangerous hole and the worst part is they haven’t realized it yet they need to be taking robinhood as not just potential competition but a nail in the coffin type competitor, similar to mint and whoever came before mint similar to robinhood and every other retail focused brokerage what saved cb before was that rh did not seem to focus on crypto, that has clearly changed rh has the retail that cb wants, not the other way around they are moving towards being the everything app, and i think within 5 years anyone college aged or younger will solely bank with robinhood, not just bank but everything from sportsbetting to 401k this is where cb is losing big imo, and their focus on CC with base instead of being financial rails for everything and going after the next generation will look foolish in hindsight. guess what, retail wants to bet, bank, save, earn, trade, withdraw cash, pay rent, and everything else all at the same time. robinhood seems to get this, CB does not. robinhood has no hills to die on, they cannibalize wherever they can (prediction markets) at an almost ruthless manner. i don’t see that from cb, i like brian a lot and obviously he’s a HOF founder but deep down he has to be thinking wtf are we doing. once robinhood launches perps it’s over, retail will forever trade perps there (like they do options) and that’s the true bread winner in crypto. after that they will probably move to cannibalizing pump fun in some way it’s just confusing, you have the base app which feels like a social network vs a wallet, and then you have coinbase app which people know but is still just a crypto cex you can onboard soulja boy and hot for the moment twitter journalists but i don’t really understand why, like you are coinbase / base, why are you focusing on short sighted things like crypto social networks instead of trying to steal robinhood users zora guys are obviously great at building products, i’d have them just sunset zora and move on to combining the coinbase + base app into one (two apps is beyond stupid) and making it a finance app to compete with robinhood. no real person has ever said i wish i owned $1 of this tweet or IG post, regardless of how early they were before it went viral. it just doesn’t work and especially not at scale. idk how many times we have to run this same shit back before people get that money is all people care about from CT to real people, and you have coinbase product people on X tweeting they don’t even trade and are pushing trading products. just man up say it was a miss and go at robinhood. not even saying this to just shit on them cause all of CT is shitting on them but i just don’t really get it and i figured it was a disconnect between base vs cb but clearly they are aligned and just wrong obviously who needs to listen to me i haven’t built shit and unicorns are built by unicorn founders but just my 2 cents",315,41,18,81157,,A-整体讨论,https://x.com/evfiend/status/2006452538917236922,[],[],,,,False,与Lululemon无关 内容讨论Robinhood与Coinbase，未提及Lululemon,en,
@brian_armstrong,2025-12-31T23:20:46.000Z,"Thx for the thought Did you see our latest product update (see video below)? Our retail app is doing everything RH is and more, at scale. Millions of crypto assets, first to perp style futures in U.S. etc. stocks, prediction markets, everything exchange. Base App is a separate bet where we’re playing on the frontier (social trading). Separate thing. What would you like to see in the main Coinbase App? Happy to consider it.",239,87,18,59024,,A-整体讨论,https://x.com/brian_armstrong/status/2006505844066890160,"[""@evfiend""]","[""https://x.com/evfiend/status/2006452538917236922""]",@brian_armstrong,Going live with our Coinbase System Update event! Excited to show you all of our new product releases #SystemUpdatehttps://x.com/i/broadcasts/1BRJjgWpwwpxw…,https://x.com/brian_armstrong/status/2001408291159634252,False,与Lululemon无关 内容关于Coinbase应用，与Lululemon无关,en,en
@ahitposter,2026-01-01T00:04:07.000Z,coinbase needs a complete brand overhaul and vibe shift from evil woke indian fed aligned liberal corporation to based financial liberation platform you can start with firing jesse pollak and mandating no lululemon or other athletic wear at public company events,40,2,0,1509,,A-整体讨论,https://x.com/ahitposter/status/2006516751224418598,"[""@brian_armstrong"", ""@evfiend""]","[""https://x.com/brian_armstrong/status/2006505844066890160"", ""https://x.com/evfiend/status/2006452538917236922""]",,,,False,与Lululemon无关 主要讨论coinbase品牌，lululemon仅作附带提及,en,
@kcchiefsproshop,2025-12-31T16:30:19.000Z,"The unofficial uniform of cozy Chiefs fans. Made with breathable cotton-blend fleece, the 
@lululemon
 Steady State Sweatshirt and Jogger deliver that game-day chill vibe. Swing by during Pro Shop hours and home games, or 816-920-8223 for shipping/pickup!",3,0,0,436,,A-整体讨论,https://x.com/kcchiefsproshop/status/2006402547049709948,[],[],,,,False,广告 宣传商品促销购买,en,
@Kooz_WRLD,2025-12-31T18:39:41.000Z,Out: long John’s In: me wearing my Lululemon™ sweatpants underneath my jeans to stay #warm,5,0,0,452,#warm,A-整体讨论,https://x.com/Kooz_WRLD/status/2006435104315359395,[],[],,,,True,有效 用户分享穿着Lululemon产品体验,en,
@seangarrette,2026-01-02T06:47:18.000Z,What is people’s obsession with Alo? I’m so curious lol,5132,187,775,787558,,A-整体讨论,https://x.com/seangarrette/status/2006980605209370954,[],[],,,,False,与Lululemon无关 讨论Alo而非Lululemon,en,
@lady_dy_stl,2026-01-02T15:49:52.000Z,It’s the new lululemon for the Stanley cup moms,3,0,0,8929,,A-整体讨论,https://x.com/lady_dy_stl/status/2007117145713545496,"[""@seangarrette""]","[""https://x.com/seangarrette/status/2006980605209370954""]",,,,True,有效 提及Lululemon品牌相关讨论,en,
@BKoepkaPGA,2026-01-01T05:39:42.000Z,"From the ppl: In: Martinis, str8 up w twist Exotic belts Solid shirts Homecooking Cardio Lalo TGL Delta Birkenstocks Vuori SEC Contains: Hoodies Live Music H&B Titleist Out: Hulu F word Espresso Martinis Lululemon Apologizing WFH Pickleball Late nights Private stories Big 10",1,0,0,108,,A-整体讨论,https://x.com/BKoepkaPGA/status/2006601203631927330,[],[],,,,False,与Lululemon无关 仅提及品牌名称，无实质内容,en,
