comment_id,parent_id,depth,name,is_creator,content,created_at,url,raw
3843843,,0,BEST_Pictures,no,It's a shame and a waste of money. Cheap China scrap that doesn't work at all. I had high hopes but was disappointed. Better buy the DJI 3D focus. It works perfectly!,2021-09-29T10:40:44Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 24840213, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843843, ""commentThreadID"": 220961, ""createdAt"": ""2021-09-29T10:40:44Z"", ""editedAt"": ""2021-09-29T10:40:44Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""It's a shame and a waste of money. Cheap China scrap that doesn't work at all. I had high hopes but was disappointed. Better buy the DJI 3D focus. It works perfectly!"", ""userComment"": null}"
3843842,,0,Carlos_Raoul,no,Would be cool if we could just download settings for specific lenses.  Too much of a hassle to calibrate.,2021-08-30T01:19:13Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 83930, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843842, ""commentThreadID"": 220961, ""createdAt"": ""2021-08-30T01:19:13Z"", ""editedAt"": ""2021-08-30T01:19:13Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 1, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Would be cool if we could just download settings for specific lenses.  Too much of a hassle to calibrate."", ""userComment"": null}"
3843841,,0,mark_eberle,no,Is there anyone out there that has mastered setting this up on a P4k ?  I need help this weekend.  HELP !!  email :   captdp1@aol.com,2021-08-27T04:45:29Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 18441407, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843841, ""commentThreadID"": 220961, ""createdAt"": ""2021-08-27T04:45:29Z"", ""editedAt"": ""2021-08-27T04:45:29Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Is there anyone out there that has mastered setting this up on a P4k ?  I need help this weekend.  HELP !!  email :   captdp1@aol.com"", ""userComment"": null}"
3843840,,0,Hanling_Dong,no,Does this work with the 6K Pro?,2021-07-30T07:48:59Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 19234296, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843840, ""commentThreadID"": 220961, ""createdAt"": ""2021-07-30T07:48:59Z"", ""editedAt"": ""2021-07-30T07:48:59Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Does this work with the 6K Pro?"", ""userComment"": null}"
3843839,,0,,no,"@Mark: that's correct. You have to set up to 50 different focal points by slowly stepping back from the focus chart and setting them.  Once done, the unit will jump or transition focus only at those marks.  3 meters won't change, but 4 will.  In effect, it's barely better than the autofocus on the 6k, the only thing is that you don't have to press the AF button to set focus.  It's a blisteringly bad product",2021-07-20T20:43:04Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 6835922, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843839, ""commentThreadID"": 220961, ""createdAt"": ""2021-07-20T20:43:04Z"", ""editedAt"": ""2021-07-20T20:43:04Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""@Mark: that's correct. You have to set up to 50 different focal points by slowly stepping back from the focus chart and setting them.  Once done, the unit will jump or transition focus only at those marks.  3 meters won't change, but 4 will.\n\nIn effect, it's barely better than the autofocus on the 6k, the only thing is that you don't have to press the AF button to set focus.  It's a blisteringly bad product"", ""userComment"": null}"
3843838,,0,,no,"@Devolve : Does it mean that if you intentionally don't input any value between 2 and 4 meters, the AFX won't bother calculate the value for 3 meters, and will therefore make your nucleus nano focus at either 2 or 4 meters?!   Doesn't It calculate anything? Isn't the afx program able to create a curve from a set of points (completing the curve)?",2021-07-14T04:11:29Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 26614134, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843838, ""commentThreadID"": 220961, ""createdAt"": ""2021-07-14T04:11:29Z"", ""editedAt"": ""2021-07-14T07:29:24Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""@Devolve : Does it mean that if you intentionally don't input any value between 2 and 4 meters, the AFX won't bother calculate the value for 3 meters, and will therefore make your nucleus nano focus at either 2 or 4 meters?! \n\nDoesn't It calculate anything? Isn't the afx program able to create a curve from a set of points (completing the curve)?"", ""userComment"": null}"
3843837,,0,,no,"For anyone considering buying this - do not.  It's only marginally better than manual focus, and it IS NOT for continuous autofocus.  the unit ""jumps"" to each focal point that you've set, so for things like sports or moving the camera, it's completely useless.  The DJI lidar autofocus is continuous and smooth and doesn't require the ridiculous setup this thing requires.  Don't waste your money.",2021-07-10T18:25:15Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 6835922, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843837, ""commentThreadID"": 220961, ""createdAt"": ""2021-07-10T18:25:15Z"", ""editedAt"": ""2021-07-10T18:25:15Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 1, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""For anyone considering buying this - do not.  It's only marginally better than manual focus, and it IS NOT for continuous autofocus.\n\nthe unit \""jumps\"" to each focal point that you've set, so for things like sports or moving the camera, it's completely useless.\n\nThe DJI lidar autofocus is continuous and smooth and doesn't require the ridiculous setup this thing requires.  Don't waste your money."", ""userComment"": null}"
3843836,,0,John_Cranman_34ce,no,Does this work with the 6K Pro?,2021-06-21T03:40:38Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 26628667, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843836, ""commentThreadID"": 220961, ""createdAt"": ""2021-06-21T03:40:38Z"", ""editedAt"": ""2021-06-21T03:40:38Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Does this work with the 6K Pro?"", ""userComment"": null}"
3843835,,0,Andy_McBeer,no,When can we expect the MMX to be available again?,2021-06-19T07:21:59Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 25770769, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843835, ""commentThreadID"": 220961, ""createdAt"": ""2021-06-19T07:21:59Z"", ""editedAt"": ""2021-06-19T07:21:59Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 1, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""When can we expect the MMX to be available again?"", ""userComment"": null}"
3843834,,0,,no,"is anyone else having a nightmare of a time getting their unit to work *at all*?    I've been following their directions precisely and yet still can't press the D button on my R1 to calibrate a lens. Even though I initialize the R1, it doesn't appear to work.  CDA, this is another reason why requiring the R1 to operate is a stupid requirement.",2021-06-03T21:15:14Z,https://www.indiegogo.com//projects/afx-autofocus-adapter#/,"{""authorID"": 6835922, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 3843834, ""commentThreadID"": 220961, ""createdAt"": ""2021-06-03T21:15:14Z"", ""editedAt"": ""2021-06-03T21:15:14Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""is anyone else having a nightmare of a time getting their unit to work *at all*?  \n\nI've been following their directions precisely and yet still can't press the D button on my R1 to calibrate a lens. Even though I initialize the R1, it doesn't appear to work.\n\nCDA, this is another reason why requiring the R1 to operate is a stupid requirement."", ""userComment"": null}"
