comment_id,parent_id,depth,name,is_creator,content,created_at,url,raw
1434007,,0,Heidi_Bollinger,no,A. Will our Gen 1  iTENS Bluetooth devices work with the new Gen 2 models? Are they interchangeable so when one runs dead I can pop the other in?  B.Do I have to purchase the entire Gen 2 package or can I just get the wings or something since I already have a BlueTooth device?,2018-05-23T14:26:48Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 10025082, ""authorType"": 0, ""children"": [{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434059, ""commentThreadID"": 103127, ""createdAt"": ""2018-05-23T14:40:44Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434007, ""pinnedAt"": null, ""text"": ""Yes, the Gen 1 and Gen 2 devices are interchangeable between the new and old wings. The Gen 2 wings will be available as a standalone item in the future, but for the next couple months we have only the full kit in stock."", ""userComment"": null}], ""childrenTotalCount"": 1, ""commentID"": 1434007, ""commentThreadID"": 103127, ""createdAt"": ""2018-05-23T14:26:48Z"", ""editedAt"": ""2018-05-23T14:26:48Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""A. Will our Gen 1  iTENS Bluetooth devices work with the new Gen 2 models? Are they interchangeable so when one runs dead I can pop the other in?\n\nB.Do I have to purchase the entire Gen 2 package or can I just get the wings or something since I already have a BlueTooth device?"", ""userComment"": null}"
1434059,1434007,1,Brighteye_Innovations,yes,"Yes, the Gen 1 and Gen 2 devices are interchangeable between the new and old wings. The Gen 2 wings will be available as a standalone item in the future, but for the next couple months we have only the full kit in stock.",2018-05-23T14:40:44Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434059, ""commentThreadID"": 103127, ""createdAt"": ""2018-05-23T14:40:44Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434007, ""pinnedAt"": null, ""text"": ""Yes, the Gen 1 and Gen 2 devices are interchangeable between the new and old wings. The Gen 2 wings will be available as a standalone item in the future, but for the next couple months we have only the full kit in stock."", ""userComment"": null}"
1434006,,0,Shirleen_Yeoh,no,"Hi, order ID 458. When is the expected delivery? Thanks : )",2018-02-04T16:07:16Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 17572926, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 1434006, ""commentThreadID"": 103127, ""createdAt"": ""2018-02-04T16:07:16Z"", ""editedAt"": ""2018-02-04T16:07:16Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Hi, order ID 458. When is the expected delivery? Thanks : )"", ""userComment"": null}"
1434005,,0,,no,"Hi I ordered the Total Package Perk #456. Could I please get the small wing pack in green, large wing pack in blue, and the long strip accessory in grey? Also when is the expected shipping date? Thank you :-)",2018-02-04T03:25:31Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 15254527, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 1434005, ""commentThreadID"": 103127, ""createdAt"": ""2018-02-04T03:25:31Z"", ""editedAt"": ""2018-02-04T03:25:31Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Hi I ordered the Total Package Perk #456. Could I please get the small wing pack in green, large wing pack in blue, and the long strip accessory in grey? Also when is the expected shipping date? Thank you :-)"", ""userComment"": null}"
1434004,,0,Melanie_Hofmann_d5ee,no,Hi- I ordered all 3 types of iTENS but 2 of the colours are wrong. The big wing wasn’t the purple I wanted and the long one wasn’t in the free color I wanted / ordered. Can I get them?,2017-12-24T23:19:02Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 15234893, ""authorType"": 0, ""children"": [{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434058, ""commentThreadID"": 103127, ""createdAt"": ""2017-12-26T15:14:36Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434004, ""pinnedAt"": null, ""text"": ""Hi Melanie, \nIf you ordered the Total Package perk or Variety perk, you'd need to message us to request the specific color choices. If you'd like to exchange for the other colors, please return the exchange items to us with a note requesting the colors you'd like."", ""userComment"": null}], ""childrenTotalCount"": 1, ""commentID"": 1434004, ""commentThreadID"": 103127, ""createdAt"": ""2017-12-24T23:19:02Z"", ""editedAt"": ""2017-12-24T23:19:02Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Hi- I ordered all 3 types of iTENS but 2 of the colours are wrong. The big wing wasn’t the purple I wanted and the long one wasn’t in the free color I wanted / ordered. Can I get them?"", ""userComment"": null}"
1434058,1434004,1,Brighteye_Innovations,yes,"Hi Melanie,  If you ordered the Total Package perk or Variety perk, you'd need to message us to request the specific color choices. If you'd like to exchange for the other colors, please return the exchange items to us with a note requesting the colors you'd like.",2017-12-26T15:14:36Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434058, ""commentThreadID"": 103127, ""createdAt"": ""2017-12-26T15:14:36Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434004, ""pinnedAt"": null, ""text"": ""Hi Melanie, \nIf you ordered the Total Package perk or Variety perk, you'd need to message us to request the specific color choices. If you'd like to exchange for the other colors, please return the exchange items to us with a note requesting the colors you'd like."", ""userComment"": null}"
1434003,,0,Bob_O'Hara_4057,no,"Can I get an update on my order, #372?",2017-03-08T21:55:52Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 14580796, ""authorType"": 0, ""children"": [{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434057, ""commentThreadID"": 103127, ""createdAt"": ""2017-03-10T17:06:51Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434003, ""pinnedAt"": null, ""text"": ""Hi Bob. Sorry for the delay on the order. We're currently out of stock on the Long Strip and should be getting them next week."", ""userComment"": null}], ""childrenTotalCount"": 1, ""commentID"": 1434003, ""commentThreadID"": 103127, ""createdAt"": ""2017-03-08T21:55:52Z"", ""editedAt"": ""2017-03-08T21:55:52Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Can I get an update on my order, #372?"", ""userComment"": null}"
1434057,1434003,1,Brighteye_Innovations,yes,Hi Bob. Sorry for the delay on the order. We're currently out of stock on the Long Strip and should be getting them next week.,2017-03-10T17:06:51Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434057, ""commentThreadID"": 103127, ""createdAt"": ""2017-03-10T17:06:51Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434003, ""pinnedAt"": null, ""text"": ""Hi Bob. Sorry for the delay on the order. We're currently out of stock on the Long Strip and should be getting them next week."", ""userComment"": null}"
1434002,,0,Roger_Michel,no,Hello when can I expect to ship my order? Order No. 369! Thank you :),2017-03-06T17:28:56Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 10272232, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 1434002, ""commentThreadID"": 103127, ""createdAt"": ""2017-03-06T17:28:56Z"", ""editedAt"": ""2017-03-06T17:28:56Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Hello when can I expect to ship my order? Order No. 369! Thank you :)"", ""userComment"": null}"
1434001,,0,Roger_Michel,no,Hello when can I expect to ship my order? Order No. 369! Thank you :),2017-02-13T13:20:50Z,https://www.indiegogo.com//projects/itens-device-wireless-electrotherapy#/,"{""authorID"": 10272232, ""authorType"": 0, ""children"": [{""authorID"": 12935298, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434054, ""commentThreadID"": 103127, ""createdAt"": ""2017-02-14T15:40:32Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434001, ""pinnedAt"": null, ""text"": ""Hi Roger! Sorry for the delay. We are out of stock on the Long Strip but will have them next week, so we'll ship ASAP when we get them!"", ""userComment"": null}, {""authorID"": 10272232, ""authorType"": 0, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434055, ""commentThreadID"": 103127, ""createdAt"": ""2017-02-14T15:41:59Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434001, ""pinnedAt"": null, ""text"": ""Thank you for the Answer :) Have a nice Day"", ""userComment"": null}, {""authorID"": 10272232, ""authorType"": 0, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 1434056, ""commentThreadID"": 103127, ""createdAt"": ""2017-02-27T16:57:54Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 1434001, ""pinnedAt"": null, ""text"": ""Still no Tracking Number whats wrong?"", ""userComment"": null}], ""childrenTotalCount"": 3, ""commentID"": 1434001, ""commentThreadID"": 103127, ""createdAt"": ""2017-02-13T13:20:50Z"", ""editedAt"": ""2017-02-13T13:20:50Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Hello when can I expect to ship my order? Order No. 369! Thank you :)"", ""userComment"": null}"
