comment_id,parent_id,depth,name,is_creator,content,created_at,url,raw
5634949,,0,Lou_Jisonna,no,"I received my ""box of bling"" gift and I'm blown away. LOVE IT! Thanks for everything and great job on restoring the Ariel Ambulance.  Wish I could have been there to see it in person.",2015-08-30T22:10:09Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 10579113, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634949, ""commentThreadID"": 818193, ""createdAt"": ""2015-08-30T22:10:09Z"", ""editedAt"": ""2015-08-30T22:10:09Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I received my \""box of bling\"" gift and I'm blown away. LOVE IT! Thanks for everything and great job on restoring the Ariel Ambulance.  Wish I could have been there to see it in person."", ""userComment"": null}"
5634946,,0,PDX_Browncoats,yes,https://www.facebook.com/pdxbrowncoats go see Adam's (AARG-aniser!) photo's from the EMP,2015-08-11T02:34:30Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 10313441, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634946, ""commentThreadID"": 818193, ""createdAt"": ""2015-08-11T02:34:30Z"", ""editedAt"": ""2015-08-11T02:34:30Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""https://www.facebook.com/pdxbrowncoats go see Adam's (AARG-aniser!) photo's from the EMP"", ""userComment"": null}"
5634945,,0,PDX_Browncoats,yes,https://www.facebook.com/ArielAmbulance/timeline,2015-08-11T02:32:21Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 10313441, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634945, ""commentThreadID"": 818193, ""createdAt"": ""2015-08-11T02:32:21Z"", ""editedAt"": ""2015-08-11T02:32:21Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""https://www.facebook.com/ArielAmbulance/timeline"", ""userComment"": null}"
5634942,,0,Christine_Mooney_c33c,yes,"Morning all!  The Ariel Ambulance just spent all weekend parked at the Experience Music Project & Sci Fi Museum at the Seattle Center, I'll get pictures up as soon as I can, rewards should start going out this weekend (pesky real job getting in the way).  There's a few future plans, but nothing confirmed yet, I'll keep you in the loop as long as this in demand campaign is open (which currently is still as long as I have rewards). Thank you again & again for your support.",2015-08-04T16:24:54Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 4774906, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634942, ""commentThreadID"": 818193, ""createdAt"": ""2015-08-04T16:24:54Z"", ""editedAt"": ""2015-08-04T16:24:54Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Morning all!\n\nThe Ariel Ambulance just spent all weekend parked at the Experience Music Project & Sci Fi Museum at the Seattle Center, I'll get pictures up as soon as I can, rewards should start going out this weekend (pesky real job getting in the way). \nThere's a few future plans, but nothing confirmed yet, I'll keep you in the loop as long as this in demand campaign is open (which currently is still as long as I have rewards). Thank you again & again for your support."", ""userComment"": null}"
5634926,,0,Jeffrey_Chatterton,no,I'm excited for you guys! ALMOST THERE!!!,2015-05-13T22:23:39Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 527043, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634926, ""commentThreadID"": 818193, ""createdAt"": ""2015-05-13T22:23:39Z"", ""editedAt"": ""2015-05-13T22:23:39Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I'm excited for you guys! ALMOST THERE!!!"", ""userComment"": null}"
5634923,,0,Kirsten_Frömming,no,I wish I could give You more for Your wonderful work. You really make a great job.  Please let me know if  I have to pay You more money for postal fee to Germany.  Kirsten,2015-05-09T19:18:45Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 9967601, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634923, ""commentThreadID"": 818193, ""createdAt"": ""2015-05-09T19:18:45Z"", ""editedAt"": ""2015-05-09T19:18:45Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I wish I could give You more for Your wonderful work. You really make a great job.\r\nPlease let me know if  I have to pay You more money for postal fee to Germany.\r\nKirsten"", ""userComment"": null}"
5634921,,0,,no,Can't wait to see her in person!,2015-05-01T18:54:12Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 7273020, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634921, ""commentThreadID"": 818193, ""createdAt"": ""2015-05-01T18:54:12Z"", ""editedAt"": ""2015-05-01T18:54:12Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Can't wait to see her in person!"", ""userComment"": null}"
5634920,,0,Terrance_Nolan,no,Just so long as you use it to misbehave.,2015-05-01T08:29:41Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 7301428, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634920, ""commentThreadID"": 818193, ""createdAt"": ""2015-05-01T08:29:41Z"", ""editedAt"": ""2015-05-01T08:29:41Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Just so long as you use it to misbehave."", ""userComment"": null}"
5634919,,0,Michael B._McGuirk,no,"I've been a supporter of the Ariel Ambulance since she was ""found"" so many years ago.  I wish there was more I could do, but if we all do a little; well, we ARE Browncoats and we've done the impossible and that makes us mighty!  My Firefly/ Serenity Collection:  http://fireflydvd.com/phpBB2/viewtopic.php?t=3541",2015-05-01T06:33:24Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 9961300, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634919, ""commentThreadID"": 818193, ""createdAt"": ""2015-05-01T06:33:24Z"", ""editedAt"": ""2015-05-01T06:33:24Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I've been a supporter of the Ariel Ambulance since she was \""found\"" so many years ago.  I wish there was more I could do, but if we all do a little; well, we ARE Browncoats and we've done the impossible and that makes us mighty!\r\nMy Firefly/ Serenity Collection:\r\nhttp://fireflydvd.com/phpBB2/viewtopic.php?t=3541"", ""userComment"": null}"
5634918,,0,Michael_Dougherty_b937,yes,Anouk ARNAL - We will once the campaign is over and we total that up.    eflint66 - Thank you. You're part of our crew. Why are we talkin' about this? ;)    Paige Mackmer - You're helping to make that happen. Keep boostin' the signal.    dsraven713 - Last we heard there's one on the Universal Studios Tour.,2015-04-23T19:05:07Z,https://www.indiegogo.com//projects/join-the-firefly-ariel-ambulance-revival-tour#/,"{""authorID"": 894960, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 5634918, ""commentThreadID"": 818193, ""createdAt"": ""2015-04-23T19:05:07Z"", ""editedAt"": ""2015-04-23T19:05:07Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Anouk ARNAL - We will once the campaign is over and we total that up.\r\n\r\neflint66 - Thank you. You're part of our crew. Why are we talkin' about this? ;)\r\n\r\nPaige Mackmer - You're helping to make that happen. Keep boostin' the signal.\r\n\r\ndsraven713 - Last we heard there's one on the Universal Studios Tour."", ""userComment"": null}"
