comment_id,parent_id,depth,name,is_creator,content,created_at,url,raw
546794,,0,,no,This pricks website is officially offline. I encourage all to file a report with the FTC. They are actively going after scammers.,2017-11-05T09:27:55Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546794, ""commentThreadID"": 30157, ""createdAt"": ""2017-11-05T09:27:55Z"", ""editedAt"": ""2017-11-05T09:27:55Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""This pricks website is officially offline. I encourage all to file a report with the FTC. They are actively going after scammers."", ""userComment"": null}"
546793,,0,,no,I've filed a formal complaint with the FTC.,2017-07-29T15:44:24Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546793, ""commentThreadID"": 30157, ""createdAt"": ""2017-07-29T15:44:24Z"", ""editedAt"": ""2017-07-29T15:44:24Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I've filed a formal complaint with the FTC."", ""userComment"": null}"
546792,,0,,no,"Can I get a refund please? I ordered 2, one here and one directly though your site and pre-paid via paypal. Heck I'll even take 75% back at this point and call it a day.",2017-05-12T17:15:00Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546792, ""commentThreadID"": 30157, ""createdAt"": ""2017-05-12T17:15:00Z"", ""editedAt"": ""2017-05-12T17:15:00Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Can I get a refund please? I ordered 2, one here and one directly though your site and pre-paid via paypal. Heck I'll even take 75% back at this point and call it a day."", ""userComment"": null}"
546791,,0,,no,"This is a scam, till today have not receive the cube. I don’t know how indigogo let all this people put out easy scam to get money.",2017-02-26T04:35:59Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 4724738, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546791, ""commentThreadID"": 30157, ""createdAt"": ""2017-02-26T04:35:59Z"", ""editedAt"": ""2017-02-26T04:35:59Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""This is a scam, till today have not receive the cube. I don’t know how indigogo let all this people put out easy scam to get money."", ""userComment"": null}"
546790,,0,Marcel_Ekkel,no,and?,2017-01-25T00:43:46Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 4550732, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546790, ""commentThreadID"": 30157, ""createdAt"": ""2017-01-25T00:43:46Z"", ""editedAt"": ""2017-01-25T00:43:46Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""and?"", ""userComment"": null}"
546789,,0,,no,Everyone involved in this height please take the time to file a formal case against this creator of Retrievor. I've made several attempt to contact and he has gone MIA. He run 2 campaigns and received thousands of dollars without any delivery of product. The time has come for us to take legal action. https://www.ftccomplaintassistant.gov,2016-11-19T09:34:34Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546789, ""commentThreadID"": 30157, ""createdAt"": ""2016-11-19T09:34:34Z"", ""editedAt"": ""2017-04-17T20:19:22Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Everyone involved in this height please take the time to file a formal case against this creator of Retrievor. I've made several attempt to contact and he has gone MIA. He run 2 campaigns and received thousands of dollars without any delivery of product. The time has come for us to take legal action. https://www.ftccomplaintassistant.gov"", ""userComment"": null}"
546788,,0,,no,I hope people are still paying attention to this page as I plan on filing a formal complaint with the FTC. Stay tuned.,2016-10-14T09:05:11Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546788, ""commentThreadID"": 30157, ""createdAt"": ""2016-10-14T09:05:11Z"", ""editedAt"": ""2016-10-14T09:05:11Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I hope people are still paying attention to this page as I plan on filing a formal complaint with the FTC. Stay tuned."", ""userComment"": null}"
546787,,0,Matthew_Adams_df2e,no,Time for my refund.,2016-10-11T12:59:45Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 3131286, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546787, ""commentThreadID"": 30157, ""createdAt"": ""2016-10-11T12:59:45Z"", ""editedAt"": ""2016-10-11T12:59:45Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Time for my refund."", ""userComment"": null}"
546786,,0,Alessio_Pinamonti,no,Is not possible! Retrievor is death??? http://www.g-paws.com/ Buona notte Retrievor!,2016-09-08T19:51:34Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 4826869, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546786, ""commentThreadID"": 30157, ""createdAt"": ""2016-09-08T19:51:34Z"", ""editedAt"": ""2016-09-08T19:51:34Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Is not possible!\nRetrievor is death???\nhttp://www.g-paws.com/\nBuona notte Retrievor!"", ""userComment"": null}"
546785,,0,,no,Can you please give us the option for a refund? This is beyond ridiculous. I ordered something else now and it works flawlessly and it comes with a app. It's not a small and cost $5 a month through Verizon but it came to market and I have no need for this now. I need to protect an item and couldn't wait any longer.  You mislead the public with this device. That's fraud.,2016-08-03T12:40:54Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [{""authorID"": 2775796, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 546811, ""commentThreadID"": 30157, ""createdAt"": ""2016-11-22T13:18:18Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 546785, ""pinnedAt"": null, ""text"": ""Hello,\n\nAs Indiegogo is a crowdfunding platform, you did not'order' but instead supported a crowdfunding campaign. \n\nWe have explained the situation with development throughout the campaign with our 134 Updates."", ""userComment"": null}], ""childrenTotalCount"": 1, ""commentID"": 546785, ""commentThreadID"": 30157, ""createdAt"": ""2016-08-03T12:40:54Z"", ""editedAt"": ""2016-08-03T12:40:54Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Can you please give us the option for a refund? This is beyond ridiculous. I ordered something else now and it works flawlessly and it comes with a app. It's not a small and cost $5 a month through Verizon but it came to market and I have no need for this now. I need to protect an item and couldn't wait any longer.  You mislead the public with this device. That's fraud."", ""userComment"": null}"
546811,546785,1,RETRIEVOR_GPS,yes,"Hello,  As Indiegogo is a crowdfunding platform, you did not'order' but instead supported a crowdfunding campaign.   We have explained the situation with development throughout the campaign with our 134 Updates.",2016-11-22T13:18:18Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 2775796, ""authorType"": 1, ""children"": null, ""childrenTotalCount"": 0, ""commentID"": 546811, ""commentThreadID"": 30157, ""createdAt"": ""2016-11-22T13:18:18Z"", ""editedAt"": null, ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": 546785, ""pinnedAt"": null, ""text"": ""Hello,\n\nAs Indiegogo is a crowdfunding platform, you did not'order' but instead supported a crowdfunding campaign. \n\nWe have explained the situation with development throughout the campaign with our 134 Updates."", ""userComment"": null}"
546784,,0,,no,"Home boy took our money and ran to South Africa already... let's come to grips with the fact that it was a failed venture... failed horribly... By now, many other (newer) competing designs and emerging technologies have rendered this project obsolete.  Let's not be too harsh on the poor fellow here... he had a decent design, just a terribly naive plan to fund it.",2016-07-24T03:41:34Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 2617031, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546784, ""commentThreadID"": 30157, ""createdAt"": ""2016-07-24T03:41:34Z"", ""editedAt"": ""2016-07-24T03:41:34Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Home boy took our money and ran to South Africa already... let's come to grips with the fact that it was a failed venture... failed horribly... By now, many other (newer) competing designs and emerging technologies have rendered this project obsolete.\n\nLet's not be too harsh on the poor fellow here... he had a decent design, just a terribly naive plan to fund it."", ""userComment"": null}"
546783,,0,,no,"Dear campaigner, Can you have the courtesy to inform those of us who do not wish to wait any longer for the product, the procedure for obtaining the refund of our investment?  I posted my request for refund already 2 months ago and received no feedback. Seems I'm not the only one here...",2016-04-21T08:12:41Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5302322, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546783, ""commentThreadID"": 30157, ""createdAt"": ""2016-04-21T08:12:41Z"", ""editedAt"": ""2016-04-21T08:12:41Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Dear campaigner,\nCan you have the courtesy to inform those of us who do not wish to wait any longer for the product, the procedure for obtaining the refund of our investment?\n\nI posted my request for refund already 2 months ago and received no feedback. Seems I'm not the only one here..."", ""userComment"": null}"
546782,,0,,no,I'll be dead by the time this comes to market. Can you dig me back up and put the tracker in my casket so my son can use the app to find me?,2016-04-14T09:48:58Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5332571, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546782, ""commentThreadID"": 30157, ""createdAt"": ""2016-04-14T09:48:58Z"", ""editedAt"": ""2016-04-14T09:48:58Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I'll be dead by the time this comes to market. Can you dig me back up and put the tracker in my casket so my son can use the app to find me?"", ""userComment"": null}"
546780,,0,,no,"I joined this campaign 2 1/2 years ago, sending in my hard earned money. I find it hard to believe that the product is still not in production, when it isn't even a novel product anymore, the market has many such products in comparable sizes. It's obvious there is to be no finished product. I want my money back. What recourse do we all, as contributors, have?",2016-04-04T22:21:18Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 5302224, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546780, ""commentThreadID"": 30157, ""createdAt"": ""2016-04-04T22:21:18Z"", ""editedAt"": ""2016-04-04T22:21:18Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I joined this campaign 2 1/2 years ago, sending in my hard earned money. I find it hard to believe that the product is still not in production, when it isn't even a novel product anymore, the market has many such products in comparable sizes. It's obvious there is to be no finished product. I want my money back. What recourse do we all, as contributors, have?"", ""userComment"": null}"
546779,,0,Matthew_Adams_df2e,no,What's the status on this?  Been a long time since I sent money....,2016-04-04T20:29:29Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 3131286, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546779, ""commentThreadID"": 30157, ""createdAt"": ""2016-04-04T20:29:29Z"", ""editedAt"": ""2016-04-04T20:29:29Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""What's the status on this?  Been a long time since I sent money...."", ""userComment"": null}"
546778,,0,,no,"Lol. Only 5 months to remember it this time.  I have moved to a new country. In the exceptionally unlikely event that a product is every actually produced, are you going to send out emails for people to confirm their shipping address? 3 - 4 years is a long time for people to keep the same details. I should just make my own.",2016-03-10T03:35:46Z,https://www.indiegogo.com//projects/retrievor-self-charging-gps-tracking#/,"{""authorID"": 4937292, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 546778, ""commentThreadID"": 30157, ""createdAt"": ""2016-03-10T03:35:46Z"", ""editedAt"": ""2016-03-10T03:35:46Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Lol. Only 5 months to remember it this time. \nI have moved to a new country. In the exceptionally unlikely event that a product is every actually produced, are you going to send out emails for people to confirm their shipping address? 3 - 4 years is a long time for people to keep the same details. I should just make my own."", ""userComment"": null}"
