comment_id,parent_id,depth,name,is_creator,content,created_at,url,raw
6468088,,0,Simon_Chandler,yes,Thanks so much Billy- you got us to our target! We really appreciate your support.,2012-05-30T04:07:09Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 601255, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468088, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-30T04:07:09Z"", ""editedAt"": ""2012-05-30T04:07:09Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Thanks so much Billy- you got us to our target! We really appreciate your support."", ""userComment"": null}"
6468087,,0,Simon_Chandler,yes,You're a rock Mike! Go Blue Sky!,2012-05-27T14:34:40Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 601255, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468087, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-27T14:34:40Z"", ""editedAt"": ""2012-05-27T14:34:40Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""You're a rock Mike! Go Blue Sky!"", ""userComment"": null}"
6468086,,0,Simon_Chandler,yes,Thanks so much Hope! We really appreciate your support.,2012-05-27T03:51:35Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 601255, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468086, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-27T03:51:35Z"", ""editedAt"": ""2012-05-27T03:51:35Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Thanks so much Hope! We really appreciate your support."", ""userComment"": null}"
6468085,,0,Hope_Koskey,no,Keep up the awesome work Simon. Very inspiring!,2012-05-26T02:27:23Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 635573, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468085, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-26T02:27:23Z"", ""editedAt"": ""2012-05-26T02:27:23Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Keep up the awesome work Simon. Very inspiring!"", ""userComment"": null}"
6468084,,0,Simon_Chandler,yes,Thank you for your support James. For more information on the team please visit our website and facebook pages:    website: www.segundobarriofutbolclub.org    facebook: segundobarriofutbolclub,2012-05-22T14:41:12Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 601255, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468084, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-22T14:41:12Z"", ""editedAt"": ""2012-05-22T14:41:12Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Thank you for your support James. For more information on the team please visit our website and facebook pages:\r\n\r\nwebsite: www.segundobarriofutbolclub.org\r\n\r\nfacebook: segundobarriofutbolclub"", ""userComment"": null}"
6468083,,0,James_Kalmbach,no,My daughter speaks highly of your project,2012-05-22T14:12:22Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 629547, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468083, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-22T14:12:22Z"", ""editedAt"": ""2012-05-22T14:12:22Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""My daughter speaks highly of your project"", ""userComment"": null}"
6468082,,0,Jacob_Jones,no,I just want to support this effort,2012-05-22T12:34:19Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 597050, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468082, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-22T12:34:19Z"", ""editedAt"": ""2012-05-22T12:34:19Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""I just want to support this effort"", ""userComment"": null}"
6468081,,0,Simon_Chandler,yes,Thanks so much Eddie! We appreciate your support!,2012-05-19T04:25:27Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 601255, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468081, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-19T04:25:27Z"", ""editedAt"": ""2012-05-19T04:25:27Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Thanks so much Eddie! We appreciate your support!"", ""userComment"": null}"
6468080,,0,Edward_Holland,no,Go segundo barrio fc!,2012-05-19T03:49:54Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 639660, ""authorType"": 0, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468080, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-19T03:49:54Z"", ""editedAt"": ""2012-05-19T03:49:54Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Go segundo barrio fc!"", ""userComment"": null}"
6468079,,0,Simon_Chandler,yes,Thanks Ro! We really appreciate your support!,2012-05-16T20:45:46Z,https://www.indiegogo.com//projects/segundo-barrio-futbol-club#/,"{""authorID"": 601255, ""authorType"": 1, ""children"": [], ""childrenTotalCount"": 0, ""commentID"": 6468079, ""commentThreadID"": 1047534, ""createdAt"": ""2012-05-16T20:45:46Z"", ""editedAt"": ""2012-05-16T20:45:46Z"", ""isDeleted"": false, ""isHidden"": false, ""isReportedByCreator"": false, ""likesCount"": 0, ""newerChildrenCount"": 0, ""newRepliesCount"": 0, ""parentID"": null, ""pinnedAt"": null, ""text"": ""Thanks Ro! We really appreciate your support!"", ""userComment"": null}"
