笔记ID,笔记链接,标题,应有评论数,实际采集数,缺口,覆盖率%
6a9c14e90000000026015a62,https://www.xiaohongshu.com/discovery/item/6a9c14e90000000026015a62?source=webshare&xhsshare=pc_web&xsec_token=AByOTHn8pslWzEQ6Lq2UGEHNtmNFxFTgj_09hMNwVtTEg=&xsec_source=pc_share,人、咪可爱嘛！,1464,29,1435,2.0
6a98d9bb0000000027016cf4,https://www.xiaohongshu.com/discovery/item/6a98d9bb0000000027016cf4?source=webshare&xhsshare=pc_web&xsec_token=ABT-o0TdDSXEK-1EFBtoR53tbYn-NPd0v9WqMTxSNo-Ho=&xsec_source=pc_share,土猫大赏|大橘洗澡嘴上不乐意，身体却很诚实,6116,125,5991,2.0
6a9fdf1f0000000012025c10,https://www.xiaohongshu.com/discovery/item/6a9fdf1f0000000012025c10?source=webshare&xhsshare=pc_web&xsec_token=AB1CyauW0LC4kG8BSBQO4Sgr8ffehWbe9gZs9ra_kGx_E=&xsec_source=pc_share,再这样下去跑轮都能发电了！,3320,73,3247,2.2
6a61d481000000001003e777,https://www.xiaohongshu.com/discovery/item/6a61d481000000001003e777?source=webshare&xhsshare=pc_web&xsec_token=ABSWekP3RNPKamcC1s0XFfVZPxKVw7SqUfT2YdFsfjMSs=&xsec_source=pc_share,人回来了，得劲魔法 ～,2318,78,2240,3.4
6a90f82f000000000402ad6c,https://www.xiaohongshu.com/discovery/item/6a90f82f000000000402ad6c?source=webshare&xhsshare=pc_web&xsec_token=AB52R4qZgOf0rSs5rE1q_iBvTkvbL3RTxpI4k7mcHZtxE=&xsec_source=pc_share,小伙子，这猫师傅开的摩的怎么样？,1632,64,1568,3.9
6a3d0bdd000000001503c350,https://www.xiaohongshu.com/discovery/item/6a3d0bdd000000001503c350?source=webshare&xhsshare=pc_web&xsec_token=AB2hQQ9xIhV2wug9bsQb-0vopZXmQL6Ah7kOHsLiw_DoQ=&xsec_source=pc_share,这只猫的嘴，班主任看完都沉默了…,445,20,425,4.5
6aa154da000000002802d45c,https://www.xiaohongshu.com/discovery/item/6aa154da000000002802d45c?source=webshare&xhsshare=pc_web&xsec_token=ABB-jLJ2UhJl00oKno90mVwIu1B80CyRIIf6dgIzVxigA=&xsec_source=pc_share,刚开学就在宿舍楼下遇到两只小猫,2031,110,1921,5.4
6a9f5331000000002502dedd,https://www.xiaohongshu.com/discovery/item/6a9f5331000000002502dedd?source=webshare&xhsshare=pc_web&xsec_token=AB1CyauW0LC4kG8BSBQO4SgrnMCX9P-AhFBw5fUwcwqWY=&xsec_source=pc_share,有本事别跑,561,34,527,6.1
6a89962a0000000033019859,https://www.xiaohongshu.com/discovery/item/6a89962a0000000033019859?source=webshare&xhsshare=pc_web&xsec_token=ABpg8atLC0CA8sMTHZtpciWCg2BB_fAzPj_xmwm0ZjqvU=&xsec_source=pc_share,快说你喜欢！,3377,237,3140,7.0
6a90284b00000000250263d4,https://www.xiaohongshu.com/discovery/item/6a90284b00000000250263d4?source=webshare&xhsshare=pc_web&xsec_token=AB52R4qZgOf0rSs5rE1q_iBjsfBvyu8Xr7cmWsS4KjQi4=&xsec_source=pc_share,深情咪仔来咯！,631,45,586,7.1
6a9b7b05000000002b01f236,https://www.xiaohongshu.com/discovery/item/6a9b7b05000000002b01f236?source=webshare&xhsshare=pc_web&xsec_token=ABUvhijR-aHSjZ-TUA_7TWP1sQmxoJVaIXl7RD76AGhg0=&xsec_source=pc_share,人类幼崽面前的猫咪总是“充满耐心”,1109,81,1028,7.3
6a9e404b000000002601b8c7,https://www.xiaohongshu.com/discovery/item/6a9e404b000000002601b8c7?source=webshare&xhsshare=pc_web&xsec_token=ABzcC9_u3HiGcQoV49Yj8SGn-9Fy5j7QY8GBnsk_EeZ6w=&xsec_source=pc_share,可是我觉得很神圣啊,1018,118,900,11.6
6a9a2f41000000000d024a1c,https://www.xiaohongshu.com/discovery/item/6a9a2f41000000000d024a1c?source=webshare&xhsshare=pc_web&xsec_token=ABTsFIF1QDwa_pK-Ad0uAro9gayXGAHokvxfhEqahaD90=&xsec_source=pc_share,空调才关两分钟..小猫怎么就出这么多脚汗！,630,82,548,13.0
6a9cc0030000000026023b83,https://www.xiaohongshu.com/discovery/item/6a9cc0030000000026023b83?source=webshare&xhsshare=pc_web&xsec_token=AByOTHn8pslWzEQ6Lq2UGEHK2wypwLbRjZNBsAaTtTpXk=&xsec_source=pc_share,起床后的呆滞,235,32,203,13.6
6a69c5cc000000001303f5dd,https://www.xiaohongshu.com/discovery/item/6a69c5cc000000001303f5dd?source=webshare&xhsshare=pc_web&xsec_token=ABTsNyk4sqF-W0Jk0W5DJVQTwY9TSTVpNYhvW5Vt44hjE=&xsec_source=pc_share,上班搭子简直是牛马的精神支柱,413,58,355,14.0
6a43b2dc000000000702f4af,https://www.xiaohongshu.com/discovery/item/6a43b2dc000000000702f4af?source=webshare&xhsshare=pc_web&xsec_token=ABQFpojCrKNWhaVQS2Gc53xdzzUaUQigkDwARGMCRq1KI=&xsec_source=pc_share,这辈子走过最长的路，就是媳妇的套路,1529,244,1285,16.0
6a9e69ac000000002a006195,https://www.xiaohongshu.com/discovery/item/6a9e69ac000000002a006195?source=webshare&xhsshare=pc_web&xsec_token=ABzcC9_u3HiGcQoV49Yj8SGiqXd36l8xpdBbQz_gqZXgI=&xsec_source=pc_share,这是什么牌子猪,119,19,100,16.0
