序号,笔记ID,一级命中条数,分类,说明
1,6a9693c2000000002b013710,1,吞评,评论不含「海洋之星」
2,6a9a813b0000000012001d13,0,吞楼,无一级评论命中
3,6a9a6a9f000000002a005504,1,留存,评论含「海洋之星」
4,6a9d4ac3000000002a0246d8,0,吞楼,无一级评论命中
5,6a97b7350000000028039151,1,留存,评论含「海洋之星」
6,6a97cdc9000000000d027988,1,留存,评论含「海洋之星」
7,6a993104000000001203498c,1,留存,评论含「海洋之星」
8,6a97db5b000000002502d000,0,吞楼,无一级评论命中
9,6a95061b000000002a03afc4,0,吞楼,无一级评论命中
10,6a99476a000000002b013a48,0,吞楼,无一级评论命中
11,6a963fb1000000000b035aae,0,吞楼,无一级评论命中
12,6a962cc0000000001001c4ac,0,吞楼,无一级评论命中
13,6a9bd72000000000280348a6,2,留存,评论含「海洋之星」
14,6a97e9d2000000002a007935,0,吞楼,无一级评论命中
15,6a96e126000000000b00f1a2,1,留存,评论含「海洋之星」
16,6a967aec0000000029012408,1,留存,评论含「海洋之星」
17,6a74174d000000002500432a,1,吞评,评论不含「海洋之星」
18,6a96c8ef000000000b000324,1,吞评,评论不含「海洋之星」
19,6a8599450000000033030df6,1,留存,评论含「海洋之星」
20,6a979896000000002803b203,1,留存,评论含「海洋之星」
21,6a9522d8000000001e014470,1,留存,评论含「海洋之星」
22,6a9aa3f0000000002601a67d,1,留存,评论含「海洋之星」
23,6a9a96f90000000029013ee8,0,吞楼,无一级评论命中
24,6a981499000000002b0111ef,1,留存,评论含「海洋之星」
25,6a97d9f60000000029013722,0,吞楼,无一级评论命中
26,6a97f3e90000000026014ee4,1,留存,评论含「海洋之星」
27,6a9a6c57000000002601cab4,1,留存,评论含「海洋之星」
28,6a96794e000000002902deb4,0,吞楼,无一级评论命中
29,6a9a9add000000002a007b58,0,吞楼,无一级评论命中
30,6a9ad8180000000025035357,1,吞评,评论不含「海洋之星」
31,6a99446d000000002603304f,1,吞评,评论不含「海洋之星」
32,6a95164f00000000250249fe,1,留存,评论含「海洋之星」
33,6a96505f000000002b01390c,1,留存,评论含「海洋之星」
34,6a90e4fb0000000021030e43,0,吞楼,无一级评论命中
35,6a842cd8000000002402d65b,0,吞楼,无一级评论命中
36,6a67109a0000000005039750,1,留存,评论含「海洋之星」
37,6a9a9e93000000001103a80a,0,吞楼,无一级评论命中
38,6a98d8f3000000000d0270b8,0,吞楼,无一级评论命中
39,6a97c161000000002802e3a0,1,吞评,评论不含「海洋之星」
40,6a98e1730000000026014788,1,留存,评论含「海洋之星」
41,6a98f052000000002602106c,1,吞评,评论不含「海洋之星」
42,6a9a38fc0000000027009b54,1,吞评,评论不含「海洋之星」
43,6a96a2c1000000002502c850,1,吞评,评论不含「海洋之星」
44,6a97d27c0000000026017783,1,留存,评论含「海洋之星」
45,6a97e68c000000001103aa02,0,吞楼,无一级评论命中
46,6a98df93000000000b001a8f,1,留存,评论含「海洋之星」
47,6a97f5d7000000002b01313b,1,留存,评论含「海洋之星」
48,6a9653ec0000000026016c6d,1,留存,评论含「海洋之星」
49,6a9bba88000000002901ab34,1,留存,评论含「海洋之星」
50,6a991588000000002901ae8c,1,留存,评论含「海洋之星」
