post_id,author_id,created_at,text,conversation_id,parent_post_id,in_reply_to_user_id,lang,query_group,is_reply,is_quote,is_repost,like_count,reply_count,repost_count,official_content_type,content_type,is_pfas_related
1329596775158538240,@lululemon,2020-11-20T01:25:48.000Z,Can confirm: This is why we made it.,1329596775158538240,,,en,官方回应帖,FALSE,FALSE,FALSE,471,6,49,brand_story,official_post,0
1329606813185138688,@lululemon,2020-11-20T02:05:41.000Z,Just peek over at our virtual shelves—stocked with all the latest: http://spr.ly/6019HGnkF.,1329606813185138688,,,en,官方回应帖,FALSE,FALSE,FALSE,0,0,0,product_promotion,official_post,0
1818338109773562068,@lululemon,2024-07-30T17:29:23.000Z,It’s Summer time in Paris.,1818338109773562068,,,en,F-抵制声浪,FALSE,TRUE,FALSE,78,72,21,community_engagement,official_post,0
1819126454229389633,@lululemon,2024-08-01T21:41:59.000Z,"Records are for breaking. Congrats to our Ambassador Summer McIntosh on setting a new Olympic record on her way to 200m Butterfly gold. Add that to her medals in the 400m IM and the 400m Freestyle, and we’re calling it... a Summer special. #TeamCanada",1819126454229389633,,,en,官方回应帖,FALSE,FALSE,FALSE,0,0,0,product_promotion,official_post,0
1819126454229389633,@lululemon,2024-08-01T21:41:59.000Z,"Records are for breaking. Congrats to our Ambassador Summer McIntosh on setting a new Olympic record on her way to 200m Butterfly gold. Add that to her medals in the 400m IM and the 400m Freestyle, and we’re calling it... a Summer special. #TeamCanada",1819126454229389633,,,en,A-整体讨论,FALSE,FALSE,FALSE,195,293,42,product_promotion,official_post,0
1822097002550714577,@lululemon,2024-08-10T02:25:52.000Z,"We understand you received a bra instead of a pair of shorts. We're here to support you. When you have moment, please message us with your full name, email, and order ID.",1822097002550714577,,,en,官方回应帖,FALSE,FALSE,FALSE,0,3,0,customer_service,official_post,0
1860665262887846305,@lululemon,2024-11-24T12:42:22.000Z,"While we don't know what the future holds when it comes to restocks, we'll be sure to pass along your feedback to our Design team. Be sure to sign up for product notification emails, so you're in the know when items make a reappearance.",1860665262887846305,,,en,官方回应帖,FALSE,FALSE,FALSE,1,1,0,customer_service,official_post,0
1868020393014944145,@lululemon,2024-12-14T19:49:02.000Z,"This isn't what we like to hear. Feedback is at the heart of what we do—feel free to send us a PM, so we can continue the conversation there.",1868020393014944145,,,en,官方回应帖,FALSE,FALSE,FALSE,0,0,0,customer_service,official_post,0
1872304908663185877,@lululemon,2024-12-26T15:34:10.000Z,"We're disappointed to hear that your package didn't land with you when it was supposed to, so we'd love to support you further. Send us a PM with your full name, email address, and order ID, and we'll be happy to assist you.",1872304908663185877,,,en,官方回应帖,FALSE,FALSE,FALSE,0,1,0,customer_service,official_post,0
1872856871729586421,@lululemon,2024-12-28T04:07:28.000Z,Our Design team likes to keep us guessing—stay tuned on our app or website for all the latest arrivals dropping weekly.,1872856871729586421,,,en,官方回应帖,FALSE,FALSE,FALSE,0,0,1,product_promotion,official_post,0
1875687692962263435,@lululemon,2025-01-04T23:36:09.000Z,"Hearing this isn't sitting right with us. When you have a moment please send us a private message with your full name, email address, and billing address. We'd be happy to support you.",1875687692962263435,,,en,官方回应帖,FALSE,FALSE,FALSE,0,0,0,customer_service,official_post,0
1891548961410085238,@lululemon,2025-02-17T18:03:10.000Z,We've spotted your PM and have responded—we're excited to continue the conversation with you there.,1891548961410085238,,,en,官方回应帖,FALSE,FALSE,FALSE,0,0,0,customer_service,official_post,0
