周(周一~下周一),帖子总数,有效数,A-整体讨论总,B-化学品争议总,C-健康安全总,D-透明度总,E-绿洗质疑总,F-抵制声浪总,A-整体讨论有效,B-化学品争议有效,C-健康安全有效,D-透明度有效,E-绿洗质疑有效,F-抵制声浪有效
2025-12-29~2026-01-05,195,111,188,1,5,1,0,0,109,1,1,0,0,0
2026-01-05~2026-01-12,290,169,277,3,4,2,3,1,163,2,1,1,2,0
2026-01-12~2026-01-19,185,112,160,12,3,4,1,5,103,7,1,1,0,0
2026-01-19~2026-01-26,214,128,195,1,4,10,0,4,115,0,3,7,0,3
2026-01-26~2026-02-02,221,123,211,2,5,2,1,0,116,1,3,2,1,0
2026-02-02~2026-02-09,198,134,176,0,2,2,1,17,117,0,1,2,1,13
2026-02-09~2026-02-16,157,98,139,1,6,5,0,6,88,0,4,4,0,2
2026-02-16~2026-02-23,149,97,143,0,4,2,0,0,93,0,3,1,0,0
2026-02-23~2026-03-02,205,137,193,5,4,3,0,0,131,3,2,1,0,0
2026-03-02~2026-03-09,222,153,194,3,22,0,0,3,145,3,2,0,0,3
2026-03-09~2026-03-16,214,129,210,0,1,2,0,1,127,0,0,2,0,0
2026-03-16~2026-03-23,223,141,199,0,9,7,0,8,129,0,2,5,0,5
2026-03-23~2026-03-30,257,102,256,0,1,0,0,0,101,0,1,0,0,0
2026-03-30~2026-04-06,200,110,178,0,11,2,4,5,101,0,4,0,2,3
2026-04-06~2026-04-13,207,125,200,0,3,3,1,0,122,0,1,1,1,0
2026-04-13~2026-04-20,410,325,191,110,56,28,12,13,129,102,50,21,12,11
2026-04-20~2026-04-27,196,124,163,14,2,11,1,5,109,10,1,1,0,3
2026-04-27~2026-05-04,192,121,183,2,3,2,0,2,116,1,2,1,0,1
2026-05-04~2026-05-11,177,95,165,4,5,2,0,1,91,3,1,0,0,0
2026-05-11~2026-05-18,297,217,215,30,12,1,4,35,147,28,8,0,3,31
2026-05-18~2026-05-25,145,90,125,5,6,1,0,8,78,4,2,0,0,6
2026-05-25~2026-06-01,176,108,163,2,5,3,0,3,103,1,1,1,0,2
2026-06-01~2026-06-08,218,139,191,2,9,9,0,7,129,2,5,2,0,1
2026-06-08~2026-06-15,164,92,160,0,2,1,0,1,91,0,0,0,0,1
2026-06-15~2026-06-22,154,108,148,2,1,2,0,1,105,1,1,0,0,1
2026-06-22~2026-06-29,181,111,165,4,6,4,0,2,99,4,4,3,0,1
2026-06-29~2026-07-06,175,91,167,3,4,1,0,0,85,2,3,1,0,0
2026-07-06~2026-07-13,157,97,148,3,2,1,2,1,91,2,1,1,2,0
2026-07-13~2026-07-20,164,101,158,2,2,1,1,0,97,2,1,1,0,0
2026-07-20~2026-07-27,153,87,140,3,3,3,0,4,79,2,1,1,0,4
2026-07-27~2026-08-03,146,89,128,6,2,5,4,1,79,5,0,3,1,1
合计,6242,3864,5529,220,204,120,35,134,3388,186,110,63,25,92
